
2024/08/16 (13:15:21) | ===> btop++ v.1.3.2
2024/08/16 (13:15:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (12:12:09) | ===> btop++ v.1.3.2
2024/08/18 (12:12:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (14:10:02) | ===> btop++ v.1.3.2
2024/08/18 (14:10:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (14:11:00) | ===> btop++ v.1.3.2
2024/08/18 (14:11:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (14:12:14) | ===> btop++ v.1.3.2
2024/08/18 (14:12:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (13:32:23) | ===> btop++ v.1.3.2
2024/08/19 (13:32:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (00:27:30) | ===> btop++ v.1.3.2
2024/09/13 (00:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (23:10:16) | ===> btop++ v.1.3.2
2024/09/13 (23:10:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/18 (20:11:06) | ===> btop++ v.1.3.2
2024/10/18 (20:11:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
